"Brand","Country"
"Fantastic","Australia"
"Suimin","Australia"
"Singa-Me","Australia"
"Maggi","Australia"
"Trident","Australia"
"Pran","Bangladesh"
"MAMA","Bangladesh"
"Mama","Bangladesh"
"Nissin","Brazil"
"MAMA","Cambodia"
"Mama","Cambodia"
"Great Value","Canada"
"Azami","Canada"
"Western Family","Canada"
"No Name","Canada"
"Campbell's","Canada"
"Sapporo Ichiban","Canada"
"Plats Du Chef","Canada"
"Mr. Noodles","Canada"
"Noodle Time","Canada"
"Sichuan Guangyou","China"
"Uni-President","China"
"Nissin","China"
"Master Kong","China"
"Xiuhe","China"
"Sichuan Baijia","China"
"Liang Cheng Mai","China"
"Hua Feng","China"
"Liu Quan","China"
"Chuan Wei Wang","China"
"Qin Zong","China"
"JML","China"
"Kang Shi Fu","China"
"Baijia","China"
"Baixiang Noodles","China"
"Wugudaochang","China"
"Chencun","China"
"Nongshim","China"
"Unif-100","China"
"Hankow","China"
"Golden Wheat","China"
"Unif","China"
"Sau Tao","China"
"Nan Jie Cun","China"
"Chewy","China"
"Four Seas","China"
"Springlife","China"
"Kamfen","China"
"Long Kow","China"
"Dragonfly","China"
"Rocket Brand","China"
"Sao Tao","China"
"Hua Feng Noodle Expert","China"
"Nissin","Colombia"
"Baltix","Estonia"
"Maggi","Fiji"
"FMF","Fiji"
"Pirkka","Finland"
"Nissin","Germany"
"Bonasia","Germany"
"Thai Chef","Germany"
"Bamee","Germany"
"Yum-Mie","Ghana"
"Lele","Ghana"
"Nissin","Hong Kong"
"Sau Tao","Hong Kong"
"Kang Shi Fu","Hong Kong"
"Kamfen","Hong Kong"
"Fuku","Hong Kong"
"Doll","Hong Kong"
"Four Seas","Hong Kong"
"Mamee","Hong Kong"
"Chewy","Hong Kong"
"Knorr","Hong Kong"
"Kailo","Hong Kong"
"Sao Tao","Hong Kong"
"Nissin","Hungary"
"Bonasia","Hungary"
"Asia Gold","Hungary"
"Thai Chef","Hungary"
"Ching's Secret","India"
"TRDP","India"
"Maggi","India"
"Nissin","India"
"Wai Wai","India"
"1 To 3 Noodles","India"
"Patanjali","India"
"Chaudhary's Wai Wai","India"
"Nissin","Indonesia"
"Indomie","Indonesia"
"World O' Noodle","Indonesia"
"Super Bihun","Indonesia"
"Mi Sedaap","Indonesia"
"Mie Sedaap","Indonesia"
"Salam Mie","Indonesia"
"Tropicana Slim","Indonesia"
"La Fonte","Indonesia"
"Pop Bihun","Indonesia"
"Healtimie","Indonesia"
"GaGa","Indonesia"
"ABC","Indonesia"
"Eat & Go","Indonesia"
"President","Indonesia"
"SuperMi","Indonesia"
"Maitri","Indonesia"
"Sarimi","Indonesia"
"Cap Atoom Bulan","Indonesia"
"New Touch","Japan"
"Acecook","Japan"
"Ikeda Shoku","Japan"
"Ripe'n'Dry","Japan"
"Nissin","Japan"
"Fujiwara","Japan"
"Maruchan","Japan"
"Sokensha","Japan"
"Takamori","Japan"
"Samurai Ramen","Japan"
"Ogasawara","Japan"
"Tokyo Noodle","Japan"
"MyKuali","Japan"
"Ajinatori","Japan"
"Myojo","Japan"
"Daikoku","Japan"
"Marutai","Japan"
"Sapporo Ichiban","Japan"
"Tablemark","Japan"
"Nagatanien","Japan"
"Menraku","Japan"
"Itomen","Japan"
"Sanpo","Japan"
"Tokushima Seifun","Japan"
"Itsuki","Japan"
"Higashimaru","Japan"
"Kuriki","Japan"
"Daraz","Japan"
"Seven & I","Japan"
"Sugakiya Foods","Japan"
"Nakaya Shouten","Japan"
"Torishi","Japan"
"Ishimaru","Japan"
"Yamadai","Japan"
"Sakurai Foods","Japan"
"Samyang Foods","Japan"
"Mitoku","Japan"
"Unzen","Japan"
"Oyatsu","Japan"
"Men-Sunaoshi","Japan"
"Takamori Kosan","Japan"
"Kimura","Japan"
"Tokachimen Koubou","Japan"
"Kumamoto","Japan"
"Sanrio","Japan"
"Peyang","Japan"
"Nagao Noodle","Japan"
"Goku Uma","Japan"
"Fuji Mengyo","Japan"
"Seven-Eleven","Japan"
"Paldo","Japan"
"Yamamoto","Japan"
"JFC","Japan"
"Yamamori","Japan"
"Shirakiku","Japan"
"Sanyo Foods","Japan"
"Higashi","Japan"
"Sakurai","Japan"
"MyKuali","Malaysia"
"The Ramen Rater Select","Malaysia"
"E-Zee","Malaysia"
"Cintan","Malaysia"
"Nyor Nyar","Malaysia"
"CarJEN","Malaysia"
"ORee Garden","Malaysia"
"A1","Malaysia"
"MyOri","Malaysia"
"Ibumie","Malaysia"
"Pama","Malaysia"
"Vit's","Malaysia"
"Hao Way","Malaysia"
"Super","Malaysia"
"Mamee","Malaysia"
"Aroi","Malaysia"
"Lee Fah Mee","Malaysia"
"The Kitchen Food","Malaysia"
"Maggi","Malaysia"
"Premiere","Malaysia"
"Ah Lai","Malaysia"
"Ruski","Malaysia"
"The Bridge","Malaysia"
"Uncle Sun","Malaysia"
"Mi E-Zee","Malaysia"
"E-mi","Malaysia"
"J.J.","Malaysia"
"Curry Prince","Malaysia"
"Econsave","Malaysia"
"Nanyang Chef","Malaysia"
"Adabi","Malaysia"
"Saji","Malaysia"
"Sawadee","Malaysia"
"Daddy","Malaysia"
"Nissin","Mexico"
"Ottogi","Mexico"
"Maruchan","Mexico"
"La Moderna","Mexico"
"MAMA","Myanmar"
"Mama","Myanmar"
"Asian Thai Foods","Nepal"
"Conimex","Netherlands"
"Koh Thai","Netherlands"
"Unox","Netherlands"
"iMee","Netherlands"
"Indomie","Nigeria"
"Knorr","Pakistan"
"Morre","Pakistan"
"Shan","Pakistan"
"Lucky Me!","Philippines"
"Pamana","Philippines"
"Payless","Philippines"
"Quickchow","Philippines"
"Nissin","Philippines"
"Amino","Poland"
"Vifon","Poland"
"KOKA","Singapore"
"Nissin","Singapore"
"Prima","Singapore"
"MyKuali","Singapore"
"Myojo","Singapore"
